Frame,Conf,X1,Y1,X2,Y2,Width,Height,Modified_Temp
134,0.398040563,184,460,1758,512,1574,52,30.9
135,0.399495542,184,460,1758,512,1574,52,30.9
136,0.398818612,184,460,1758,512,1574,52,30.9
137,0.413226128,184,460,1758,512,1574,52,30.9
138,0.413217902,184,460,1758,512,1574,52,30.9
139,0.409618556,184,460,1758,512,1574,52,30.9
140,0.409679204,184,460,1758,512,1574,52,30.9
141,0.408430219,184,460,1758,512,1574,52,30.9
142,0.408289194,184,460,1758,512,1574,52,30.9
143,0.408178866,184,460,1758,512,1574,52,30.9
144,0.408375949,184,460,1758,512,1574,52,30.9
145,0.407848984,184,460,1758,512,1574,52,30.9
146,0.408096343,184,460,1758,512,1574,52,30.9
147,0.369664341,183,460,1758,512,1575,52,30.9
148,0.370201588,183,460,1758,512,1575,52,30.9
149,0.370286971,183,460,1758,512,1575,52,30.9
150,0.364709288,183,460,1758,512,1575,52,30.9
151,0.37072596,183,460,1758,512,1575,52,30.9
152,0.37069869,183,460,1758,512,1575,52,30.9
153,0.370735615,183,460,1758,512,1575,52,30.9
154,0.370677561,183,460,1758,512,1575,52,30.9
155,0.370626152,183,460,1758,512,1575,52,30.9
156,0.370626152,183,460,1758,512,1575,52,30.9
157,0.370778859,183,460,1758,512,1575,52,30.9
158,0.382906646,183,460,1758,512,1575,52,30.9
159,0.370756775,183,460,1758,512,1575,52,30.9
160,0.36970669,183,460,1758,512,1575,52,30.9
161,0.363377035,183,460,1758,512,1575,52,30.9
162,0.363838673,183,460,1758,512,1575,52,30.9
163,0.365114391,183,460,1758,512,1575,52,30.9
164,0.363796651,183,460,1758,512,1575,52,30.9
165,0.363807142,183,460,1758,512,1575,52,30.9
166,0.365682721,183,460,1758,512,1575,52,30.9
167,0.396861136,183,460,1758,512,1575,52,30.9
168,0.406017959,183,460,1758,512,1575,52,30.9
169,0.405408263,183,460,1758,512,1575,52,30.9
170,0.40339309,183,460,1758,512,1575,52,30.9
171,0.403815687,183,460,1758,512,1575,52,30.9
172,0.404337674,183,460,1758,512,1575,52,30.9
173,0.404511362,183,460,1758,512,1575,52,30.9
174,0.404767722,183,460,1758,512,1575,52,30.9
175,0.404689044,183,460,1758,512,1575,52,30.9
176,0.404825211,183,460,1758,512,1575,52,30.9
177,0.434944063,183,460,1758,511,1575,51,30.9
178,0.434701949,183,460,1758,511,1575,51,30.9
179,0.435151011,183,460,1758,511,1575,51,30.9
180,0.387483656,183,460,1758,511,1575,51,30.9
181,0.391521335,183,460,1758,511,1575,51,30.9
182,0.388259381,183,460,1758,511,1575,51,30.9
183,0.388503045,183,460,1758,511,1575,51,30.9
184,0.390772343,183,460,1758,511,1575,51,30.9
185,0.388504952,183,460,1758,511,1575,51,30.9
186,0.388504952,183,460,1758,511,1575,51,30.9
187,0.390871406,183,460,1758,511,1575,51,30.9
188,0.516090095,184,459,1758,510,1574,51,30.9
189,0.515614212,184,459,1758,510,1574,51,30.9
190,0.501932383,184,459,1758,510,1574,51,30.9
191,0.505534708,184,459,1758,510,1574,51,30.9
192,0.505721688,184,459,1758,510,1574,51,30.9
193,0.501646876,184,459,1758,510,1574,51,30.9
194,0.50515908,184,459,1758,510,1574,51,30.9
195,0.505154192,184,459,1758,510,1574,51,30.9
196,0.501564741,184,459,1758,510,1574,51,30.9
197,0.693740368,236,457,1810,507,1574,50,30.9
198,0.693707466,236,457,1810,507,1574,50,30.9
199,0.695046186,236,457,1810,507,1574,50,30.9
200,0.695710301,236,457,1810,507,1574,50,30.9
201,0.695697129,236,457,1810,507,1574,50,30.9
202,0.695977986,236,457,1810,507,1574,50,30.9
203,0.695776463,236,457,1810,507,1574,50,30.9
204,0.695758402,236,457,1810,507,1574,50,30.9
205,0.695935547,236,457,1810,507,1574,50,30.9
206,0.695679963,236,457,1810,507,1574,50,30.9
207,0.695679367,236,457,1810,507,1574,50,30.9
208,0.731964767,236,455,1810,504,1574,49,30.9
209,0.73235935,236,455,1810,504,1574,49,30.9
210,0.731415629,236,455,1810,504,1574,49,30.9
211,0.731286287,236,455,1810,504,1574,49,30.9
212,0.731281459,236,455,1810,504,1574,49,30.9
213,0.73129195,236,455,1810,504,1574,49,30.9
214,0.731288254,236,455,1810,504,1574,49,30.9
215,0.731520534,236,455,1810,504,1574,49,30.9
216,0.731476605,236,455,1810,504,1574,49,30.9
217,0.731286705,236,455,1810,504,1574,49,30.9
218,0.74153167,236,451,1810,499,1574,48,30.9
219,0.742515802,184,451,1758,499,1574,48,30.9
220,0.742743731,236,451,1810,499,1574,48,30.9
221,0.7423141,184,451,1758,499,1574,48,30.9
222,0.743187845,236,451,1810,499,1574,48,30.9
223,0.742640018,236,451,1810,499,1574,48,30.9
224,0.743073225,184,451,1758,499,1574,48,30.9
225,0.738364458,184,451,1758,499,1574,48,30.9
226,0.738036394,184,451,1758,499,1574,48,30.9
227,0.73838973,184,451,1758,499,1574,48,30.9
228,0.738441527,184,451,1758,499,1574,48,30.9
229,0.748416126,236,448,1810,496,1574,48,30.9
230,0.748896062,236,448,1810,496,1574,48,30.9
231,0.748567522,236,448,1810,496,1574,48,30.9
232,0.748004973,236,448,1810,496,1574,48,30.9
233,0.748627126,236,448,1810,496,1574,48,30.9
234,0.748570204,236,448,1810,496,1574,48,30.9
235,0.74801147,236,448,1810,496,1574,48,30.9
236,0.748583376,236,448,1810,496,1574,48,30.9
237,0.748515487,236,448,1810,496,1574,48,30.9
238,0.723097026,236,446,1810,494,1574,48,30.9
239,0.722727478,236,446,1810,494,1574,48,30.9
240,0.722877324,236,446,1810,494,1574,48,30.9
241,0.72208029,236,446,1810,494,1574,48,30.9
