                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                 1.0053,                 1.3149,                0.81289,                0.81282,                   0.83,                0.90336,                 0.5047,                 1.6741,                0.80663,                0.51208,              0.0010034,              0.0010034,              0.0010034
                    153,                0.98518,                 1.2846,                0.81879,                0.81593,                   0.76,                0.87169,                0.47794,                 1.6351,                0.86486,                0.50796,              0.0009968,              0.0009968,              0.0009968
                    154,                0.98776,                 1.2906,                0.81274,                0.87668,                   0.82,                0.91401,                0.52071,                 1.6471,                0.79708,                0.50811,              0.0009902,              0.0009902,              0.0009902
                    155,                 1.0081,                 1.2996,                0.81572,                0.91572,                 0.7606,                0.92866,                0.54515,                 1.6673,                0.72461,                0.51055,              0.0009836,              0.0009836,              0.0009836
                    156,                0.98137,                 1.2726,                0.81196,                0.76034,                    0.9,                0.91568,                0.51904,                 1.6603,                0.77515,                0.50563,               0.000977,               0.000977,               0.000977
                    157,                0.98456,                 1.2816,                0.81761,                0.78163,                   0.93,                0.92801,                 0.5137,                 1.6666,                 0.7634,                0.51206,              0.0009704,              0.0009704,              0.0009704
                    158,                0.99362,                 1.2911,                0.81123,                0.86279,                0.81749,                0.90778,                0.53748,                 1.6404,                0.77098,                0.50884,              0.0009638,              0.0009638,              0.0009638
                    159,                0.98808,                 1.2953,                0.81387,                0.83168,                0.93878,                 0.9452,                0.54721,                 1.6499,                0.72145,                0.50913,              0.0009572,              0.0009572,              0.0009572
                    160,                0.99753,                 1.3143,                0.81719,                0.85652,                   0.89,                0.93598,                0.53701,                 1.6716,                0.76436,                0.50971,              0.0009506,              0.0009506,              0.0009506
                    161,                0.96974,                 1.2773,                0.81444,                0.75907,                0.91368,                0.91998,                0.54185,                 1.6162,                0.73993,                0.50672,               0.000944,               0.000944,               0.000944
                    162,                0.97482,                 1.2597,                0.81376,                0.79571,                0.93484,                0.92234,                0.53738,                 1.6661,                0.72346,                0.50723,              0.0009374,              0.0009374,              0.0009374
                    163,                0.96902,                 1.2613,                0.81716,                0.81113,                    0.9,                0.92975,                0.54507,                 1.6119,                0.72282,                0.50332,              0.0009308,              0.0009308,              0.0009308
                    164,                0.95133,                 1.2584,                0.81478,                 0.7771,                 0.8716,                0.88596,                0.52408,                 1.6284,                0.77327,                0.50412,              0.0009242,              0.0009242,              0.0009242
                    165,                0.99838,                  1.258,                0.81408,                0.77892,                   0.92,                0.91683,                0.54916,                  1.632,                0.72923,                0.50711,              0.0009176,              0.0009176,              0.0009176
                    166,                0.98172,                 1.2662,                0.81734,                0.76059,                   0.82,                0.87747,                0.51574,                 1.6608,                0.77876,                 0.5081,               0.000911,               0.000911,               0.000911
                    167,                0.97201,                   1.26,                0.81859,                0.75016,                   0.86,                0.88862,                0.52582,                 1.6537,                0.78073,                 0.5051,              0.0009044,              0.0009044,              0.0009044
                    168,                0.98181,                 1.2667,                0.81266,                0.82755,                   0.84,                0.91192,                0.53239,                 1.6467,                0.79792,                 0.5041,              0.0008978,              0.0008978,              0.0008978
                    169,                0.96904,                 1.2586,                0.81585,                0.72132,                   0.88,                 0.8744,                0.49593,                 1.6304,                 0.7881,                0.50737,              0.0008912,              0.0008912,              0.0008912
                    170,                 0.9781,                 1.2587,                0.81778,                0.76935,                0.83391,                 0.8857,                0.51114,                 1.6221,                0.80231,                0.50902,              0.0008846,              0.0008846,              0.0008846
                    171,                0.97134,                 1.2256,                0.81678,                0.75893,                   0.78,                0.86808,                 0.5034,                 1.6388,                0.77461,                0.50921,               0.000878,               0.000878,               0.000878
                    172,                0.96097,                 1.2436,                0.81665,                0.59418,                0.77602,                0.77063,                0.43783,                 1.6179,                0.95231,                0.50812,              0.0008714,              0.0008714,              0.0008714
                    173,                0.96366,                 1.2712,                0.81429,                0.83842,                0.72648,                0.85147,                0.50419,                 1.6207,                 0.8197,                0.50276,              0.0008648,              0.0008648,              0.0008648
                    174,                0.96996,                 1.2487,                0.81195,                0.74667,                   0.81,                 0.8749,                0.50619,                 1.6181,                0.77962,                0.50408,              0.0008582,              0.0008582,              0.0008582
                    175,                0.97144,                  1.241,                0.81715,                0.90476,                   0.84,                0.93987,                0.55032,                 1.6215,                0.69595,                  0.514,              0.0008516,              0.0008516,              0.0008516
                    176,                 0.9766,                 1.2637,                0.81936,                 0.9042,                   0.84,                0.95235,                0.56796,                 1.6117,                0.70542,                0.51701,               0.000845,               0.000845,               0.000845
                    177,                0.94555,                 1.2629,                0.82135,                0.78387,                0.83418,                0.91991,                0.55656,                 1.6202,                0.71412,                0.51208,              0.0008384,              0.0008384,              0.0008384
                    178,                0.95895,                 1.2373,                0.82176,                0.76278,                   0.84,                 0.8903,                0.53313,                 1.5975,                0.73713,                0.51328,              0.0008318,              0.0008318,              0.0008318
                    179,                0.95839,                 1.2192,                0.81832,                0.84778,                0.89115,                0.93133,                0.55783,                 1.6022,                0.70686,                0.50918,              0.0008252,              0.0008252,              0.0008252
                    180,                0.97055,                 1.2499,                0.81717,                0.72655,                   0.83,                0.88683,                0.51858,                 1.6144,                0.79531,                 0.5191,              0.0008186,              0.0008186,              0.0008186
                    181,                0.98191,                 1.2579,                  0.813,                0.88122,                   0.88,                0.93164,                0.53681,                 1.6202,                0.76549,                0.51243,               0.000812,               0.000812,               0.000812
                    182,                0.97561,                  1.245,                0.81739,                0.81737,                   0.83,                 0.9101,                0.54197,                 1.6237,                 0.7656,                 0.5109,              0.0008054,              0.0008054,              0.0008054
                    183,                0.97552,                 1.2426,                 0.8132,                0.80379,                   0.89,                0.92023,                0.55232,                 1.5907,                0.72633,                0.50856,              0.0007988,              0.0007988,              0.0007988
                    184,                0.96654,                 1.2185,                 0.8116,                0.79363,                   0.88,                0.88383,                0.51614,                 1.5831,                0.71884,                0.50361,              0.0007922,              0.0007922,              0.0007922
                    185,                0.96551,                  1.244,                0.81146,                 0.8283,                0.72362,                0.89738,                0.52387,                 1.5772,                0.77219,                0.50621,              0.0007856,              0.0007856,              0.0007856
                    186,                0.96497,                 1.2358,                0.81738,                0.89507,                0.85301,                0.94794,                0.57047,                 1.5774,                0.66539,                0.50997,               0.000779,               0.000779,               0.000779
                    187,                 0.9602,                 1.2308,                0.81384,                0.85742,                   0.89,                0.93937,                0.56857,                  1.593,                0.70115,                 0.5139,              0.0007724,              0.0007724,              0.0007724
                    188,                0.96235,                  1.238,                0.81536,                  0.901,                0.81906,                0.93617,                0.56465,                 1.5662,                0.71291,                0.51114,              0.0007658,              0.0007658,              0.0007658
                    189,                0.94846,                 1.2022,                0.81109,                0.81694,                0.84792,                0.91365,                 0.5361,                 1.6031,                0.71666,                0.51187,              0.0007592,              0.0007592,              0.0007592
                    190,                0.96326,                 1.2095,                0.81728,                0.79635,                0.89937,                0.92397,                0.56393,                 1.5677,                0.67302,                0.51057,              0.0007526,              0.0007526,              0.0007526
                    191,                 0.9733,                 1.2201,                0.81281,                0.86367,                   0.79,                0.91219,                0.55116,                 1.6065,                0.73214,                0.51075,               0.000746,               0.000746,               0.000746
                    192,                 0.9546,                 1.2223,                 0.8125,                0.91289,                   0.81,                0.95402,                0.59113,                 1.5912,                0.67541,                0.51182,              0.0007394,              0.0007394,              0.0007394
                    193,                0.95642,                  1.223,                0.81098,                0.89138,                0.82062,                0.94187,                0.58109,                   1.59,                0.68268,                0.50886,              0.0007328,              0.0007328,              0.0007328
                    194,                0.95631,                  1.224,                0.81294,                0.83618,                   0.87,                0.92617,                0.55819,                 1.5964,                0.72226,                0.51229,              0.0007262,              0.0007262,              0.0007262
                    195,                0.96971,                  1.237,                0.81542,                0.86544,                   0.87,                0.92027,                0.54602,                 1.5996,                0.70148,                0.51193,              0.0007196,              0.0007196,              0.0007196
                    196,                0.96503,                 1.2292,                0.81238,                0.87442,                0.83558,                0.92713,                0.55164,                 1.6151,                0.69823,                0.51095,               0.000713,               0.000713,               0.000713
                    197,                0.96464,                 1.2291,                0.81349,                0.91243,                   0.81,                0.92273,                0.54423,                 1.6106,                  0.721,                0.50939,              0.0007064,              0.0007064,              0.0007064
                    198,                0.96138,                 1.2205,                0.81198,                0.79393,                   0.78,                0.87527,                0.49596,                 1.6199,                0.79129,                0.51161,              0.0006998,              0.0006998,              0.0006998
                    199,                0.95285,                 1.2052,                0.81016,                0.78925,                0.93629,                0.93858,                0.55811,                  1.617,                0.67791,                0.51207,              0.0006932,              0.0006932,              0.0006932
                    200,                0.96647,                 1.1995,                0.81289,                0.92197,                0.94523,                0.96762,                0.56968,                 1.6043,                0.66583,                0.51538,              0.0006866,              0.0006866,              0.0006866
                    201,                0.93795,                 1.1726,                0.81836,                0.91421,                0.85254,                0.95323,                0.54578,                 1.6251,                0.68978,                0.51882,                0.00068,                0.00068,                0.00068
                    202,                0.94489,                  1.201,                0.81279,                0.91353,                0.84519,                0.95273,                0.56373,                 1.6155,                0.69908,                0.50849,              0.0006734,              0.0006734,              0.0006734
                    203,                0.94863,                 1.1868,                0.81372,                0.94394,                0.84194,                0.95534,                0.58432,                  1.623,                0.68244,                0.51194,              0.0006668,              0.0006668,              0.0006668
                    204,                0.95063,                  1.184,                0.81816,                0.93468,                0.85853,                0.94658,                0.56527,                 1.5969,                0.69952,                0.51496,              0.0006602,              0.0006602,              0.0006602
                    205,                0.96934,                 1.2043,                0.80923,                0.88073,                    0.9,                0.94894,                0.56041,                 1.6147,                0.70298,                0.51381,              0.0006536,              0.0006536,              0.0006536
                    206,                0.95725,                 1.1981,                0.81493,                0.89585,                   0.91,                0.95593,                0.56741,                 1.6093,                0.70284,                0.51667,               0.000647,               0.000647,               0.000647
                    207,                0.96258,                 1.1927,                0.81262,                0.93763,                   0.85,                  0.943,                0.57016,                 1.5683,                0.71174,                0.51255,              0.0006404,              0.0006404,              0.0006404
                    208,                 0.9388,                 1.1737,                0.81363,                0.94111,                   0.88,                0.94758,                 0.5677,                 1.5797,                0.71636,                0.51644,              0.0006338,              0.0006338,              0.0006338
                    209,                0.95306,                 1.1833,                0.81263,                0.92397,                    0.9,                0.96327,                0.56519,                 1.5993,                0.68445,                0.52151,              0.0006272,              0.0006272,              0.0006272
                    210,                0.93759,                 1.1888,                0.81227,                0.95399,                   0.88,                0.96483,                0.56999,                 1.5877,                0.69542,                 0.5175,              0.0006206,              0.0006206,              0.0006206
                    211,                0.95451,                 1.1683,                0.80958,                0.91665,                0.87985,                0.96208,                0.57744,                 1.5679,                0.68124,                0.51101,               0.000614,               0.000614,               0.000614
                    212,                  0.949,                 1.1894,                0.81011,                0.87748,                   0.86,                0.94705,                0.55985,                 1.5744,                0.66031,                0.51271,              0.0006074,              0.0006074,              0.0006074
                    213,                0.94213,                 1.1812,                0.80932,                0.86841,                   0.88,                 0.9502,                0.56923,                 1.5762,                0.65574,                0.51095,              0.0006008,              0.0006008,              0.0006008
                    214,                0.96186,                 1.1946,                0.81458,                 0.9242,                0.85349,                0.95274,                  0.557,                 1.5848,                0.68623,                0.51078,              0.0005942,              0.0005942,              0.0005942
                    215,                 0.9462,                 1.1692,                0.81391,                0.87935,                0.87465,                0.94669,                0.55686,                 1.5723,                0.67241,                0.50848,              0.0005876,              0.0005876,              0.0005876
                    216,                0.93928,                 1.1634,                0.81351,                0.89738,                   0.86,                0.95739,                0.56955,                 1.5711,                0.66679,                 0.5087,               0.000581,               0.000581,               0.000581
                    217,                0.94565,                 1.1721,                0.81574,                0.87429,                   0.89,                0.95295,                0.56216,                 1.5812,                0.67694,                0.50702,              0.0005744,              0.0005744,              0.0005744
                    218,                0.95946,                 1.1869,                0.81256,                0.91387,                   0.87,                0.95729,                0.58216,                  1.581,                0.67325,                0.50915,              0.0005678,              0.0005678,              0.0005678
                    219,                0.93994,                 1.1776,                0.80843,                 0.9059,                   0.86,                 0.9509,                0.58367,                  1.585,                0.66579,                0.50766,              0.0005612,              0.0005612,              0.0005612
                    220,                0.95182,                 1.1673,                0.80867,                 0.9509,                   0.82,                0.95418,                0.59486,                 1.5673,                0.66271,                0.50569,              0.0005546,              0.0005546,              0.0005546
                    221,                0.95437,                 1.1553,                0.81511,                0.85155,                0.86046,                0.93664,                 0.5758,                 1.5648,                0.72009,                0.50789,               0.000548,               0.000548,               0.000548
                    222,                0.93817,                 1.1856,                0.81155,                0.91095,                   0.86,                0.95014,                0.59998,                 1.5779,                0.67085,                0.50648,              0.0005414,              0.0005414,              0.0005414
                    223,                0.96699,                 1.1578,                0.81294,                0.87455,                    0.9,                0.95334,                0.56883,                 1.5903,                  0.681,                0.51043,              0.0005348,              0.0005348,              0.0005348
                    224,                0.93682,                 1.1568,                0.81099,                0.93256,                0.82968,                0.94463,                0.55975,                 1.5813,                0.68407,                0.51164,              0.0005282,              0.0005282,              0.0005282
                    225,                0.95633,                  1.188,                0.80552,                 0.9658,                0.84718,                0.95638,                0.57799,                 1.5551,                0.68483,                0.50802,              0.0005216,              0.0005216,              0.0005216
                    226,                0.93592,                 1.1669,                0.80935,                0.92343,                0.84417,                 0.9354,                0.56808,                 1.5502,                0.70927,                 0.5082,               0.000515,               0.000515,               0.000515
                    227,                0.94313,                 1.1579,                0.80815,                0.92313,                0.84066,                0.93926,                0.56529,                 1.5641,                0.68969,                0.50784,              0.0005084,              0.0005084,              0.0005084
                    228,                0.94352,                 1.1541,                0.81053,                0.93366,                0.84451,                0.93821,                0.58401,                 1.5553,                0.69353,                0.50577,              0.0005018,              0.0005018,              0.0005018
                    229,                0.93665,                 1.1795,                0.81286,                 0.9036,                   0.83,                0.94452,                0.58207,                 1.5705,                0.68548,                0.50678,              0.0004952,              0.0004952,              0.0004952
                    230,                0.92784,                 1.1402,                0.80821,                0.87156,                0.88217,                  0.956,                0.59352,                 1.5497,                0.65763,                0.50581,              0.0004886,              0.0004886,              0.0004886
                    231,                0.93512,                 1.1357,                 0.8102,                0.95225,                   0.83,                0.95153,                0.58358,                 1.5617,                0.68362,                0.50807,               0.000482,               0.000482,               0.000482
                    232,                0.92774,                 1.1341,                0.81137,                0.92324,                0.84199,                0.94813,                0.58364,                 1.5521,                0.67472,                0.50457,              0.0004754,              0.0004754,              0.0004754
                    233,                0.93902,                 1.1297,                0.81217,                0.90073,                0.90742,                0.96281,                0.61066,                 1.5557,                0.66349,                0.50758,              0.0004688,              0.0004688,              0.0004688
                    234,                0.94936,                 1.1452,                0.80735,                0.91619,                   0.92,                0.96093,                0.60607,                 1.5538,                0.65248,                0.50868,              0.0004622,              0.0004622,              0.0004622
                    235,                0.94406,                 1.1494,                0.80899,                0.94764,                    0.9,                0.97036,                 0.6012,                 1.5576,                0.62621,                  0.507,              0.0004556,              0.0004556,              0.0004556
                    236,                0.93849,                 1.1418,                0.80813,                0.96781,                0.90197,                0.97351,                0.60949,                 1.5472,                0.62833,                0.50504,               0.000449,               0.000449,               0.000449
                    237,                0.96315,                 1.1416,                0.80865,                0.92787,                0.90048,                0.96911,                0.60597,                 1.5561,                0.64948,                 0.5057,              0.0004424,              0.0004424,              0.0004424
                    238,                0.92723,                  1.142,                0.81118,                0.91893,                   0.88,                0.95879,                0.60152,                 1.5434,                0.65299,                0.50767,              0.0004358,              0.0004358,              0.0004358
                    239,                0.94084,                 1.1418,                0.80772,                0.85802,                0.90653,                0.95174,                0.60533,                 1.5303,                0.64979,                0.50744,              0.0004292,              0.0004292,              0.0004292
                    240,                0.92951,                 1.1027,                0.81149,                 0.9197,                0.91629,                 0.9636,                0.61183,                 1.5225,                0.63283,                0.50632,              0.0004226,              0.0004226,              0.0004226
                    241,                0.91619,                 1.1421,                0.81186,                0.91504,                   0.84,                0.94929,                0.59327,                 1.5212,                0.67243,                0.50749,               0.000416,               0.000416,               0.000416
                    242,                0.93396,                 1.1395,                0.81266,                0.91017,                0.81055,                0.93083,                0.58528,                 1.5337,                0.69795,                0.50606,              0.0004094,              0.0004094,              0.0004094
                    243,                0.93615,                 1.1263,                0.80927,                0.97723,                   0.82,                0.94918,                0.58526,                 1.5476,                0.67969,                0.50727,              0.0004028,              0.0004028,              0.0004028
                    244,                0.92652,                 1.1143,                0.80817,                0.95383,                   0.87,                0.95394,                0.58588,                 1.5507,                0.67626,                0.50728,              0.0003962,              0.0003962,              0.0003962
                    245,                0.93504,                 1.1164,                0.81055,                0.95524,                   0.87,                0.94995,                0.59158,                 1.5485,                0.67855,                 0.5062,              0.0003896,              0.0003896,              0.0003896
                    246,                0.92955,                 1.1134,                0.80992,                0.95075,                   0.86,                 0.9545,                0.59689,                 1.5436,                0.66753,                0.50734,               0.000383,               0.000383,               0.000383
                    247,                0.93433,                 1.1092,                0.80479,                  0.898,                0.88041,                0.95841,                0.60332,                 1.5371,                0.64736,                 0.5058,              0.0003764,              0.0003764,              0.0003764
                    248,                0.94752,                 1.1342,                0.80747,                0.88742,                   0.88,                0.95433,                0.59528,                 1.5482,                0.65958,                0.50618,              0.0003698,              0.0003698,              0.0003698
                    249,                0.92086,                 1.1162,                0.80807,                0.96354,                   0.84,                0.95546,                0.59172,                 1.5553,                 0.6518,                0.50668,              0.0003632,              0.0003632,              0.0003632
                    250,                0.91527,                  1.121,                0.81394,                0.90258,                   0.88,                0.95433,                0.59218,                 1.5467,                0.65224,                0.50828,              0.0003566,              0.0003566,              0.0003566
                    251,                0.93451,                 1.1227,                0.80811,                0.90921,                   0.88,                0.95841,                0.60293,                 1.5393,                0.63769,                0.50879,                0.00035,                0.00035,                0.00035
                    252,                0.91898,                 1.1062,                0.80412,                 0.9051,                0.85842,                0.95185,                0.59765,                 1.5396,                0.64662,                0.50731,              0.0003434,              0.0003434,              0.0003434
                    253,                0.92264,                 1.1156,                0.81227,                0.93412,                   0.87,                0.95831,                0.60361,                 1.5313,                0.64216,                0.50557,              0.0003368,              0.0003368,              0.0003368
                    254,                0.93351,                 1.1126,                0.80584,                0.91592,                   0.88,                0.96144,                0.60574,                 1.5259,                 0.6304,                0.50622,              0.0003302,              0.0003302,              0.0003302
                    255,                0.93402,                 1.1213,                0.80954,                0.95876,                   0.87,                 0.9642,                0.60895,                 1.5345,                0.64037,                0.50577,              0.0003236,              0.0003236,              0.0003236
                    256,                0.91748,                 1.0926,                0.80815,                0.94765,                0.90515,                0.96103,                0.61198,                 1.5377,                0.64928,                0.50666,               0.000317,               0.000317,               0.000317
                    257,                0.92101,                 1.1176,                0.80896,                0.94558,                0.86881,                0.95164,                0.60121,                 1.5363,                0.64572,                0.50621,              0.0003104,              0.0003104,              0.0003104
                    258,                0.92419,                 1.1327,                0.81095,                0.86744,                0.91612,                0.95304,                0.59556,                 1.5332,                0.63354,                0.50553,              0.0003038,              0.0003038,              0.0003038
                    259,                0.94051,                 1.1129,                0.80874,                0.88044,                0.88366,                0.95321,                0.59773,                  1.527,                0.63909,                0.50499,              0.0002972,              0.0002972,              0.0002972
                    260,                0.92274,                 1.0946,                0.80799,                0.92699,                0.88876,                0.96052,                0.59909,                 1.5327,                0.63214,                0.50494,              0.0002906,              0.0002906,              0.0002906
                    261,                0.94029,                 1.1297,                0.80703,                0.90191,                    0.9,                0.95954,                0.60245,                  1.529,                0.63655,                0.50496,               0.000284,               0.000284,               0.000284
                    262,                 0.9258,                 1.1091,                0.80603,                0.91892,                0.90664,                0.96099,                 0.6104,                 1.5172,                0.63654,                0.50608,              0.0002774,              0.0002774,              0.0002774
                    263,                0.91502,                 1.0926,                0.80627,                0.97242,                   0.87,                0.95954,                0.60701,                 1.5188,                0.63575,                0.50619,              0.0002708,              0.0002708,              0.0002708
                    264,                0.92869,                 1.1126,                0.80498,                0.93952,                   0.86,                0.95693,                0.60031,                 1.5205,                 0.6458,                0.50382,              0.0002642,              0.0002642,              0.0002642
                    265,                0.92266,                 1.1182,                 0.8114,                0.92462,                0.85862,                0.95812,                0.60427,                 1.5209,                0.63999,                0.50369,              0.0002576,              0.0002576,              0.0002576
                    266,                 0.9155,                 1.1028,                0.80695,                0.92992,                   0.86,                0.95761,                0.60287,                 1.5214,                 0.6294,                 0.5021,               0.000251,               0.000251,               0.000251
                    267,                0.91781,                  1.101,                0.80596,                0.94181,                   0.87,                0.96296,                0.60623,                 1.5248,                0.61898,                0.50106,              0.0002444,              0.0002444,              0.0002444
                    268,                0.92283,                 1.0786,                0.80721,                0.94367,                   0.86,                0.95798,                0.60115,                 1.5268,                0.61818,                0.50126,              0.0002378,              0.0002378,              0.0002378
                    269,                0.91891,                 1.0856,                0.81232,                0.92191,                0.82643,                0.95278,                0.59687,                  1.524,                  0.633,                0.50145,              0.0002312,              0.0002312,              0.0002312
                    270,                0.91607,                 1.1141,                0.80923,                0.92256,                 0.8339,                0.94809,                0.59411,                 1.5293,                0.63871,                 0.5025,              0.0002246,              0.0002246,              0.0002246
                    271,                0.90734,                 1.0777,                0.80793,                0.92309,                0.84021,                0.95514,                0.60921,                 1.5154,                0.63206,                0.50304,               0.000218,               0.000218,               0.000218
                    272,                0.92061,                 1.0789,                 0.8079,                0.92577,                   0.85,                0.95383,                0.61324,                 1.5175,                0.63079,                0.50348,              0.0002114,              0.0002114,              0.0002114
                    273,                0.91322,                 1.0813,                0.80449,                0.91213,                   0.84,                0.95094,                0.61107,                 1.5122,                0.63381,                0.50473,              0.0002048,              0.0002048,              0.0002048
                    274,                0.90188,                 1.0742,                0.81224,                0.92658,                   0.86,                0.95105,                0.60294,                 1.5107,                0.63948,                0.50333,              0.0001982,              0.0001982,              0.0001982
                    275,                0.91971,                 1.0953,                0.80856,                0.91745,                   0.89,                0.95171,                0.60474,                 1.5132,                0.63637,                0.50313,              0.0001916,              0.0001916,              0.0001916
                    276,                0.91878,                 1.0834,                0.80447,                0.93625,                0.88121,                0.95922,                0.61191,                 1.5155,                0.63388,                0.50357,               0.000185,               0.000185,               0.000185
                    277,                 0.9171,                 1.1065,                0.80828,                0.91889,                   0.87,                0.96043,                0.61329,                 1.5205,                0.62915,                0.50329,              0.0001784,              0.0001784,              0.0001784
                    278,                0.90301,                 1.0768,                 0.8105,                0.94488,                   0.86,                0.95672,                 0.6093,                 1.5249,                0.63478,                0.50403,              0.0001718,              0.0001718,              0.0001718
                    279,                0.90949,                 1.0672,                0.80804,                0.95425,                   0.87,                0.95984,                0.61395,                 1.5213,                0.63065,                 0.5052,              0.0001652,              0.0001652,              0.0001652
                    280,                0.91208,                 1.0781,                0.80983,                0.94525,                0.86328,                 0.9527,                0.60489,                 1.5308,                0.64239,                 0.5042,              0.0001586,              0.0001586,              0.0001586
                    281,                0.90376,                 1.0828,                0.80731,                0.93558,                0.87146,                0.95387,                0.60428,                 1.5306,                0.63951,                0.50421,               0.000152,               0.000152,               0.000152
                    282,                 0.9034,                 1.0825,                0.80609,                0.92596,                   0.88,                0.95175,                0.60189,                 1.5303,                 0.6421,                0.50458,              0.0001454,              0.0001454,              0.0001454
                    283,                0.93583,                 1.0815,                0.80651,                0.92848,                   0.88,                0.95419,                0.60513,                 1.5294,                0.64218,                0.50404,              0.0001388,              0.0001388,              0.0001388
                    284,                0.91141,                 1.0857,                0.80703,                0.94642,                0.88328,                0.95764,                0.60399,                 1.5304,                0.63758,                0.50503,              0.0001322,              0.0001322,              0.0001322
                    285,                0.92522,                 1.0921,                0.80824,                0.93651,                   0.89,                0.95496,                0.60285,                 1.5297,                0.64304,                0.50459,              0.0001256,              0.0001256,              0.0001256
                    286,                0.89638,                 1.0424,                0.80657,                0.92511,                   0.89,                0.95102,                0.60066,                 1.5257,                0.64117,                0.50408,               0.000119,               0.000119,               0.000119
                    287,                0.90001,                 1.0625,                 0.8108,                0.91605,                0.87301,                0.95063,                0.60451,                 1.5223,                0.63851,                0.50434,              0.0001124,              0.0001124,              0.0001124
                    288,                0.90947,                 1.0676,                0.80639,                0.94647,                 0.8841,                0.95211,                0.60462,                 1.5229,                0.63867,                0.50446,              0.0001058,              0.0001058,              0.0001058
                    289,                0.91829,                 1.0676,                0.80486,                0.92389,                   0.89,                0.95174,                0.60234,                 1.5248,                0.63836,                0.50472,               9.92e-05,               9.92e-05,               9.92e-05
                    290,                0.91135,                 1.0403,                0.80684,                0.93008,                   0.88,                0.95555,                 0.6012,                 1.5239,                0.64397,                0.50426,               9.26e-05,               9.26e-05,               9.26e-05
                    291,                 1.1786,                0.79585,                0.71578,                 0.8791,                0.87256,                0.94559,                0.59017,                 1.5226,                0.64278,                0.50304,                8.6e-05,                8.6e-05,                8.6e-05
                    292,                 1.1862,                0.79711,                 0.7111,                0.84325,                    0.9,                0.94431,                0.58837,                 1.5229,                0.63905,                0.50398,               7.94e-05,               7.94e-05,               7.94e-05
                    293,                 1.1358,                0.75552,                0.72029,                0.80409,                   0.91,                0.93844,                0.59853,                 1.5145,                0.64872,                0.50305,               7.28e-05,               7.28e-05,               7.28e-05
                    294,                 1.1507,                 0.7368,                0.71118,                0.81882,                   0.91,                0.94139,                 0.6008,                 1.5126,                0.64273,                0.50268,               6.62e-05,               6.62e-05,               6.62e-05
                    295,                 1.1692,                0.76101,                0.71902,                0.90695,                   0.82,                0.94133,                 0.6068,                 1.5095,                0.64323,                0.50246,               5.96e-05,               5.96e-05,               5.96e-05
                    296,                 1.1963,                0.75851,                0.70835,                 0.9314,                 0.8147,                0.94604,                0.60869,                 1.5115,                0.63582,                0.50208,                5.3e-05,                5.3e-05,                5.3e-05
                    297,                 1.2414,                0.76861,                0.69061,                0.89961,                0.80657,                0.94198,                0.60774,                 1.5093,                 0.6346,                 0.5021,               4.64e-05,               4.64e-05,               4.64e-05
                    298,                 1.1755,                0.75632,                0.71099,                0.90033,                   0.78,                0.93634,                0.60701,                 1.5086,                0.63639,                0.50138,               3.98e-05,               3.98e-05,               3.98e-05
                    299,                 1.2038,                0.75224,                 0.7029,                0.87679,                 0.7828,                 0.9365,                0.60799,                 1.5096,                0.63493,                0.50216,               3.32e-05,               3.32e-05,               3.32e-05
                    300,                 1.1975,                0.74346,                0.70932,                0.89318,                   0.78,                0.93531,                0.60933,                 1.5106,                0.63586,                0.50195,               2.66e-05,               2.66e-05,               2.66e-05
