                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1527,                  1.786,                0.84522,                0.29043,                   0.55,                0.32295,                0.15848,                 1.9111,                 1.8119,                0.54956,              0.0017756,              0.0017756,              0.0017756
                     36,                 1.1507,                 1.7832,                0.85045,                0.36411,                   0.53,                0.34008,                0.18667,                 1.8211,                  1.773,                0.55918,               0.001769,               0.001769,               0.001769
                     37,                 1.1458,                  1.755,                0.84259,                0.22192,                    0.6,                0.24111,                0.11236,                 1.8578,                 1.8324,                0.55931,              0.0017624,              0.0017624,              0.0017624
                     38,                 1.1488,                 1.7466,                0.85143,                0.22099,                   0.59,                0.22648,                0.10562,                 1.8385,                 1.7908,                0.55101,              0.0017558,              0.0017558,              0.0017558
                     39,                 1.1187,                 1.7276,                0.84643,                0.23049,                   0.58,                0.31869,                0.16343,                 1.8755,                 1.8018,                 0.5566,              0.0017492,              0.0017492,              0.0017492
                     40,                  1.121,                 1.7293,                0.84731,                0.55488,                   0.51,                0.60009,                0.32044,                 1.7723,                 1.5853,                0.54563,              0.0017426,              0.0017426,              0.0017426
                     41,                  1.135,                 1.7386,                0.84257,                0.35845,                   0.53,                0.42353,                0.23356,                 1.7369,                 1.6275,                0.54853,               0.001736,               0.001736,               0.001736
                     42,                 1.1187,                 1.7093,                0.84782,                0.46892,                   0.54,                0.51975,                0.29631,                 1.8251,                  1.535,                0.53688,              0.0017294,              0.0017294,              0.0017294
                     43,                 1.1205,                 1.7258,                0.84998,                0.56306,                   0.67,                0.66403,                0.34728,                 1.7587,                 1.3653,                0.54119,              0.0017228,              0.0017228,              0.0017228
                     44,                 1.1302,                 1.7244,                0.84645,                0.49074,                   0.65,                0.59174,                0.29353,                 1.9368,                 1.5573,                0.55374,              0.0017162,              0.0017162,              0.0017162
                     45,                 1.1079,                 1.6911,                0.83865,                0.39715,                   0.63,                0.38228,                0.19793,                 1.8081,                 1.5305,                0.52672,              0.0017096,              0.0017096,              0.0017096
                     46,                  1.113,                   1.68,                0.84012,                0.45124,                   0.45,                0.42325,                0.23512,                 1.8227,                 1.6305,                0.56722,               0.001703,               0.001703,               0.001703
                     47,                 1.1293,                 1.7012,                0.84125,                0.75968,                0.37935,                0.51215,                0.23052,                 1.8121,                 1.5614,                0.53597,              0.0016964,              0.0016964,              0.0016964
                     48,                 1.1357,                 1.6796,                0.84014,                0.55632,                   0.45,                 0.5732,                0.31449,                 1.7731,                 1.4275,                0.53803,              0.0016898,              0.0016898,              0.0016898
                     49,                 1.1241,                 1.6453,                0.83359,                0.53301,                   0.72,                0.67643,                0.39037,                 1.7269,                 1.3651,                0.53023,              0.0016832,              0.0016832,              0.0016832
                     50,                 1.1056,                 1.6392,                0.83374,                0.42105,                   0.34,                0.39703,                0.19042,                 1.8125,                 1.6769,                0.53412,              0.0016766,              0.0016766,              0.0016766
                     51,                 1.1031,                 1.6345,                0.83963,                0.48965,                   0.76,                0.49309,                0.28457,                    1.7,                 1.4347,                0.54855,                0.00167,                0.00167,                0.00167
                     52,                 1.1142,                 1.6723,                0.84124,                0.43623,                0.74283,                0.49299,                0.27616,                 1.8186,                 1.4485,                0.55793,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.1125,                 1.6231,                0.83689,                0.35022,                   0.82,                0.46538,                0.22162,                 1.8985,                 1.4085,                 0.5543,              0.0016568,              0.0016568,              0.0016568
